Scenario,Country,Energy_carrier,Sector,Region,Name_Region,Subsector,Application,Technologie,latitude,longitude,Unit,2021,2025,2030,2035,2040,2045,2050,index_right0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE11C,Heidenheim,Cement clinker,CO2 capture,,48.65368683,10.16246767,CO2-Abscheidung [Mt/a],0.4130529633273894,0.3614213429114657,0.3917928843325973,0.3583841887693526,0.328012647348221,0.2946039517849762,0.2946039517849762,432.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE128,Rhein-Neckar-Kreis,Cement clinker,CO2 capture,,49.35767939,8.685832398,CO2-Abscheidung [Mt/a],0.38308691573790604,0.38308691573790604,0.3352010512706678,0.3633692068396315,0.3323842357137714,0.3042160801448077,0.3042160801448077,265.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE123,"Karlsruhe, Landkreis",Cement clinker,CO2 capture,,49.01841298,8.612489731,CO2-Abscheidung [Mt/a],0.3597608788600462,0.3597608788600462,0.31479076900254044,0.34124377480107326,0.3121454684226872,0.2856924626241544,0.2856924626241544,572.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE145,Alb-Donau-Kreis,Cement clinker,CO2 capture,,48.33198628,9.730468748,CO2-Abscheidung [Mt/a],0.452783037998202,0.452783037998202,0.39618515824842676,0.42947802868947105,0.39285587120432236,0.3595630007632781,0.3595630007632781,388.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE145,Alb-Donau-Kreis,Cement clinker,CO2 capture,,48.36860312,9.7346784,CO2-Abscheidung [Mt/a],0.607847036838519,0.607847036838519,0.5318661572337041,0.57656079229536,0.5273966937275386,0.4827020586658828,0.4827020586658828,388.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE143,Zollernalbkreis,Cement clinker,CO2 capture,,48.22704121,8.779096108,CO2-Abscheidung [Mt/a],0.5262955977628725,0.5262955977628725,0.46050864804251346,0.4992068537603717,0.45663882747072765,0.4179406217528694,0.4179406217528694,299.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEF0E,Steinburg,Cement clinker,CO2 capture,,53.87416492,9.583268596,CO2-Abscheidung [Mt/a],0.7910832837851725,0.7910832837851725,0.692197873312026,0.7503657618256415,0.6863810844606644,0.6282131959470487,0.6282131959470487,454.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE929,Region Hannover,Cement clinker,CO2 capture,,52.3498313,9.885933871,CO2-Abscheidung [Mt/a],0.4662586796720305,0.4662586796720305,0.4079763447130267,0.44226007115949956,0.40454797206837945,0.37026424562190663,0.37026424562190663,18.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA38,Warendorf,Cement clinker,CO2 capture,,51.76517373,8.054028788,CO2-Abscheidung [Mt/a],0.4111698429613277,0.4111698429613277,0.35977361259116175,0.39000668927949467,0.35675030492232845,0.32651722823399554,0.32651722823399554,423.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA37,Steinfurt,Cement clinker,CO2 capture,,52.17498589,7.887827641,CO2-Abscheidung [Mt/a],0.780096077412846,0.780096077412846,0.6825840677362404,0.7399440734283613,0.6768480671670283,0.6194880614749072,0.6194880614749072,334.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA47,Paderborn,Cement clinker,CO2 capture,,51.69898847,8.747040907,CO2-Abscheidung [Mt/a],0.16345647054347506,0.16345647054347506,0.1430244117255407,0.1550432698537374,0.14182252591272104,0.12980366778452435,0.12980366778452435,510.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA5B,Soest,Cement clinker,CO2 capture,,51.62256052,8.504392881,CO2-Abscheidung [Mt/a],0.18801528306949716,0.18801528306949716,0.16451337268581,0.17833802585268482,0.16313090736912256,0.14930625420224775,0.14930625420224775,5.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA5B,Soest,Cement clinker,CO2 capture,,51.59721014,8.334681945,CO2-Abscheidung [Mt/a],0.2820155428550826,0.2820155428550826,0.24676359999819733,0.26750003697283575,0.24468995630073348,0.22395351932609506,0.22395351932609506,5.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA5B,Soest,Cement clinker,CO2 capture,,51.59468474,8.33490652,CO2-Abscheidung [Mt/a],0.4179412514267431,0.4179412514267431,0.36569859499840024,0.39642956936801366,0.36262549756143886,0.33189452319182544,0.33189452319182544,5.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEA5B,Soest,Cement clinker,CO2 capture,,51.60112073,8.33612643,CO2-Abscheidung [Mt/a],0.5254813752315772,0.5254813752315772,0.45979620332763005,0.49843453974171664,0.4559323696862214,0.4172940332721349,0.4172940332721349,5.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE714,"Wiesbaden, Kreisfreie Stadt",Cement clinker,CO2 capture,,50.03190956,8.257001754,CO2-Abscheidung [Mt/a],0.12881325683144115,0.12881325683144115,0.112711599727511,0.12218316272982285,0.11176444342727983,0.10229288042496798,0.10229288042496798,10.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE732,Fulda,Cement clinker,CO2 capture,,50.58452444,9.509518927,CO2-Abscheidung [Mt/a],0.10452978874873782,0.10452978874873782,0.0914635651551456,0.09914957903372926,0.09069496376728724,0.08300894988870357,0.08300894988870357,279.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEB24,Vulkaneifel,Cement clinker,CO2 capture,,50.33399006,6.766828137,CO2-Abscheidung [Mt/a],0.13159180054383282,0.13159180054383282,0.11514282547585371,0.12481869316290024,0.11417523870714906,0.10449937102010254,0.10449937102010254,451.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DEB3D,Donnersbergkreis,Cement clinker,CO2 capture,,49.60101885,8.041377942,CO2-Abscheidung [Mt/a],0.5244301939580885,0.5244301939580885,0.4588764197133275,0.49743746338671635,0.4550203153459886,0.4164592716725997,0.4164592716725997,247.0
Orientierungsszenario_Strom,DE,process_emissions,Industry,DE21K,"Rosenheim, Landkreis",Cement clinker,CO2 capture,,47.79081962,12.18159007,CO2-Abscheidung [Mt/a],0.5611602681881395,0.5611602681881395,0.49101523466462205,0.5322770190902205,0.4868890562220622,0.4456272717964637,0.4456272717964637,207.0
